double,gene_a,gene_b,n_ab,n_a,n_b,n_eff,excess_raw,null_mu,null_q95,lam,excess_ratio,excess_z,sig_expr,n_sig_genes,n_sig_de20,rel_resid,rel_resid_de20,pearson_add_all,pearson_add_de20,norm_delta,norm_resid,u_ab,u_a,u_b,rho_mass,mass_se_poisson,z_mass_poisson,q_mass,sig_mass
AHR+FEV,AHR,FEV,239,466,625,124.0,1.924417346188567,1.103005650981579,1.1308912591783227,1.3346233671775183,1.7447030706288793,51.04296400329672,True,137,7,0.47912911011781045,0.2893102798771801,0.8794489264930103,0.9730024614623802,10.804848114849845,5.176917262226108,-0.03696519423347144,0.137832474523913,0.4313984901346686,-0.606196158892053,0.08927267056985987,-6.790388984920949,1.8154481236135258e-11,True
AHR+KLF1,AHR,KLF1,402,466,1629,185.7,1.9194779382061598,1.04268482732795,1.0736425208467404,1.2617496460449147,1.840899462520362,52.36990866691784,True,197,6,0.7491526548587777,0.24050672473427392,0.7921552198912915,0.9775542933688541,5.252148862025669,3.934661263700038,0.48302334245403866,0.137832474523913,1.3893684490003126,-1.044177581070187,0.07261923440302738,-14.378801837473748,3.99438017345353e-46,True
BCL2L11+BAK1,BCL2L11,BAK1,153,454,1154,102.6,1.2085013958922388,1.2129326723395462,1.243913888999204,1.414221924148501,0.996346642688122,-0.24332290452264146,False,7,3,1.1083741897744128,0.6185590737478212,0.32719015760499814,0.8634612510522404,2.51323545977891,2.7856053164447734,-0.4829908247725472,0.11174403843961578,1.0446362874663127,-1.6393711506784756,0.09825014362334246,-16.685687065896467,1.6017165170098704e-61,True
BCL2L11+TGFBR2,BCL2L11,TGFBR2,372,454,530,144.6,1.1939091951380956,1.0669486635281749,1.0939787799816776,1.3031830816502377,1.1189940396851794,8.397625229404598,True,3,1,0.9564223322598403,0.20602251100173608,0.5762453135328921,0.9840267649904976,2.398332016352522,2.2938183006133244,0.4054651081081637,0.11174403843961578,0.2665238469444349,0.027197222724113068,0.08253145687482902,0.3295376545377312,0.7417493376152496,False
BPGM+SAMD1,BPGM,SAMD1,233,388,415,106.2,1.4070365100242948,1.2106480325601487,1.245879566116163,1.4170867873275816,1.1622176488808598,10.005697170112965,True,16,2,0.4666506599340168,0.2102945200381635,0.9270636685360948,0.9931692975355456,7.399175597904224,3.4528301757296793,-0.062390292599282304,-0.045347819978458936,0.02192536062896533,-0.0389678332497887,0.09656667784935467,-0.4035329175409663,0.692092967611259,False
BPGM+ZBTB1,BPGM,ZBTB1,280,388,589,125.3,1.4460507700492524,1.097648023833553,1.1249850095165392,1.3302512382242522,1.3174084393637382,21.85297654492912,True,31,2,0.5322063755681079,0.29001998994342726,0.9214790392433252,0.9933630971620933,6.542495272194732,3.48195769598624,0.1213608570042668,-0.045347819978458936,0.372073024049854,-0.20536434706712825,0.08880152494385407,-2.312621851899194,0.024232989515658304,True
CBL+CNN1,CBL,CNN1,279,522,624,138.1,2.0883067378047007,1.0826344440125883,1.1145402977544154,1.3175562328936876,1.9289121543785086,59.35485382644485,True,198,13,0.4719475971897413,0.2706777829729651,0.8825273957321043,0.9597025357085053,10.032126229213661,4.734637868581567,0.11778303565638293,0.25131442828090655,0.42979720876769534,-0.563328601392219,0.08448643607372679,-6.667680962428481,4.1646944596678986e-11,True
CBL+PTPN12,CBL,PTPN12,253,522,353,113.1,1.4395234845160176,1.163884456026276,1.197577010809696,1.3832862778733943,1.2368267975936598,15.054229597821182,True,18,3,0.4350475451166943,0.18061491424731477,0.901055392153548,0.987333031992634,7.614661771270782,3.312739910485293,0.01996074256253788,0.25131442828090655,-0.139885102668436,-0.09146858304993266,0.09351243294854378,-0.9781435491071464,0.34746115638437547,False
CBL+PTPN9,CBL,PTPN9,226,522,358,107.9,1.450797923390116,1.2096072439325607,1.2467750483743687,1.4183919020521312,1.199395862307685,11.897249438587874,True,14,2,0.45701935736008437,0.1959155475360858,0.8865985449680486,0.9853682735538856,7.5768875061033665,3.462784258829013,-0.09289374689269625,0.25131442828090655,-0.12582017320103223,-0.21838800197257058,0.09580907765362091,-2.2794082494156758,0.026206954163539048,True
CBL+TGFBR2,CBL,TGFBR2,154,522,530,95.8,1.2615012140469593,1.1877220540863926,1.221120067194665,1.3939746533249837,1.0621182032502698,3.8931634545378646,True,6,1,0.559966620811029,0.21267816165904208,0.8263526833742262,0.9770112622141477,5.480724082727231,3.069022544202394,-0.47647614375135294,0.25131442828090655,0.2665238469444349,-0.9943144189766944,0.1017221964978032,-9.774802876952894,3.2240674791755323e-22,True
