gene,n,on_target_lfc,effect_norm,n_big
AHR,466,0.25901093997637165,4.69211543502652,439
ARID1A,177,0.10536328554754038,8.504395735396923,1359
ARRDC3,397,0.09021528751055564,2.8298944743311503,141
ATL1,301,0.01119281203296775,7.190146056267141,1023
BAK1,1154,0.5305031892498122,1.515299360509844,8
BCL2L11,454,0.401646841945961,1.5068481208221038,6
BCORL1,449,0.2688373725863655,2.5080537352216052,49
BPGM,388,0.5288606040942709,4.509034356712084,312
CBFA2T3,526,0.17441556115002818,3.7199630291172343,307
CBL,522,0.25237263551798317,3.9245234163246328,273
CDKN1A,274,0.7241005953884521,6.07024258010975,758
CDKN1B,406,0.02190239371302012,4.880878929537374,548
CDKN1C,164,0.552898249855241,6.192443926365092,801
CEBPA,387,0.5968110076568622,14.273660120580345,2105
CEBPB,402,0.26292770750266914,7.814539794908851,1077
CEBPE,1009,1.577916591856578,8.559709176414872,1166
CELF2,384,-0.029316491588431748,3.2058368897734293,164
CITED1,165,0.467796955555724,6.099523599778461,841
CKS1B,180,-0.1582235241782899,6.480667376748123,859
CLDN6,529,1.2767547004709567,6.707893258661173,823
CNN1,624,1.0246232043668537,4.712848567423624,314
CNNM4,372,0.0605166447043366,3.738840731406859,141
COL1A1,249,1.8175155074628584,7.922668771262735,1166
COL2A1,468,1.8169867927149297,6.469900194347796,746
CSRNP1,350,0.21175219176590415,2.683169674142907,100
DLX2,595,0.3643835291572563,4.464805315216173,432
DUSP9,645,1.3067556008181869,6.506080132881453,722
EGR1,257,0.10569350880045007,4.016723567731531,339
ETS2,1010,0.3730255038797022,3.884926854761057,238
FEV,625,1.499722307235023,6.149006798227543,602
FOSB,498,0.047812324931141514,3.8376227605188666,243
FOXA1,750,0.14385129052912654,3.4535543455350886,248
FOXA3,397,0.28279280944315055,4.813552677802,586
FOXF1,704,0.07432298654351722,2.5067900404481267,84
FOXL2,531,0.508697690113667,4.860430227032467,561
FOXO4,183,0.4307062939191011,6.5573941246269065,1038
GLB1L2,377,0.19465687795475312,3.6294910051725315,208
HES7,109,1.8050987390167135,9.80285641013401,1529
HK2,244,0.5958191152386488,3.1139099810137845,157
HNF4A,195,0.3253879964777064,7.772851557631662,1171
HOXA13,222,0.3114079416872145,9.270451669616234,1487
HOXB9,590,0.8187089563671771,4.540177156867411,483
HOXC13,327,0.3809444652933496,7.204942923756716,1086
IER5L,322,0.4743324403758645,5.56283371192645,667
IGDCC3,498,0.9798131706941124,5.113644589501977,554
IKZF3,556,0.2911711772461737,9.465499904312525,1222
IRF1,326,0.5324904055309947,6.685063874086731,734
ISL2,483,0.12433884822928673,2.079997545992502,32
JUN,231,0.6767811832563324,5.823396792768997,764
KIF18B,207,0.251685476017174,2.9771713339429597,141
KIF2C,510,0.7755462200274871,1.96562746335493,16
KLF1,1629,0.8206509216157609,4.440777620237201,191
KMT2A,185,0.5334762496167464,3.1001537829108297,123
LHX1,337,1.8168966611639277,4.604158971312875,380
LYL1,353,1.1914860037374924,2.86584769463523,82
MAML2,499,0.14336083648639233,2.241755648141981,43
MAP2K3,450,0.433637066354798,3.732390399971309,342
MAP2K6,730,0.053684919723592135,2.8233911589883642,179
MAP4K3,294,0.0796330953790961,2.331279192837392,39
MAP4K5,293,0.04916635167067014,2.5172441592475097,64
MAP7D1,630,0.9557869264462481,2.2533169896320637,45
MAPK1,648,0.5211867177258076,5.7188925935605255,533
MEIS1,674,0.06364599909304391,2.37317863353274,74
MIDN,246,0.4542887375287523,6.604342112195388,924
NCL,195,0.6398229751125579,2.801698739351693,83
NIT1,159,0.11026660344074002,8.08753410618893,1279
OSR2,833,0.5796266192156662,4.666725832678488,339
PLK4,95,0.03018988568068283,3.984472686739502,335
POU3F2,310,0.6733241876693856,4.145452932379007,381
PRDM1,261,0.2576215330410772,8.115788403486548,1081
PRTG,579,0.4509648285828546,5.410791227919162,554
PTPN1,335,0.27153997253324885,7.088018208925218,1024
PTPN12,353,0.4107219420738516,3.993756719285904,285
PTPN13,217,0.09883763754422764,4.090766123042706,277
PTPN9,358,0.3703286224111382,3.7314659215821613,318
RHOXF2,280,0.03052381166492421,7.0951541839810215,1002
RREB1,273,0.1484599367562326,4.448464212790832,460
RUNX1T1,624,0.3644962401810207,1.721816975702561,10
S1PR2,438,0.12196103751314273,4.961226248420091,423
SAMD1,415,0.2800643796308122,5.452639229617878,673
SET,777,0.4963008069696131,6.984423604057757,910
SGK1,434,0.5356875221358646,5.155509410056035,639
SLC38A2,278,0.305470709662882,2.342061323853106,36
SLC4A1,826,0.365518853063908,4.982272225986279,469
SLC6A9,437,0.3642807800080968,3.5605725106267645,226
SNAI1,372,0.11894671506144866,4.7482837009939525,531
SPI1,488,0.5657049529078151,9.55383272734675,1513
STIL,260,0.1725180021560983,3.501121041486404,268
TBX2,554,0.36668052930802153,4.926285007602631,430
TBX3,553,0.21271382949849968,5.037521567188624,273
TGFBR2,530,0.1776348157471769,1.7687099276721985,19
TMSB4X,456,2.114021657500103,3.1413873509646293,42
TP73,208,0.13910731802498288,12.206424438202033,1884
TSC22D1,374,0.8338549990438278,2.7123513554920518,76
UBASH3A,671,0.11045576240089985,2.0779853267470347,44
UBASH3B,968,0.334059341541913,3.1905571178975185,177
ZBTB1,589,0.018903045755514082,4.999174350307475,455
ZBTB10,134,0.1584007485607633,8.24046651552963,1311
ZBTB25,583,0.001669578401253844,3.5130623832899373,198
ZC3HAV1,432,0.7004644015124448,2.642778398558277,88
ZNF318,536,0.17662973299212117,2.3314598207204296,58
